Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
23-October-2024,1842.35,1885.50,1842.35,1872.85,1872.102625609469924125,115059,5027,215402256.00,48530,42.18,43.15,30.50
22-October-2024,1846.05,1877.70,1846.05,1850.95,1859.796179003758842158,67574,5907,125673867.00,21317,31.55,31.65,4.90
21-October-2024,1899.40,1899.40,1838.10,1852.50,1854.214549409769986243,156295,8501,289804463.00,71912,46.01,61.30,-46.90
18-October-2024,1905.00,1936.80,1870.00,1878.85,1890.719920223793647547,532991,26388,1007736701.00,187871,35.25,66.80,-26.15
17-October-2024,1930.00,1978.00,1930.00,1969.50,1952.190717974446703609,265093,9698,517512094.00,133613,50.40,48.00,39.50
16-October-2024,1958.95,1960.10,1916.30,1919.90,1937.195681449514889970,65346,4392,126587989.00,22286,34.10,43.80,-39.05
15-October-2024,1964.95,1990.90,1952.00,1959.10,1961.843174690382986516,218415,7927,428495977.00,130197,59.61,38.90,-5.85
14-October-2024,1934.95,1970.00,1933.75,1958.70,1956.907023154662914161,78170,6506,152971422.00,32268,41.28,36.25,23.75
11-October-2024,1918.05,1946.90,1909.90,1935.00,1934.013397773712330138,219738,13195,424976236.00,41372,18.83,37.00,16.95
10-October-2024,1969.90,1969.90,1914.25,1919.05,1935.091073045521555949,133629,8105,258584285.00,36480,27.30,55.65,-50.85
9-October-2024,1951.70,1976.90,1945.50,1953.90,1963.522038535009315378,127209,7935,249777675.00,72257,56.80,31.40,2.20
8-October-2024,1934.75,1957.75,1906.90,1948.50,1932.212502555107907976,303314,20462,586067103.00,224017,73.86,50.85,13.75
7-October-2024,1922.05,1942.25,1915.60,1933.75,1931.293292164934980069,367272,18849,709309950.00,183976,50.09,26.65,11.70
4-October-2024,1888.65,1954.10,1888.65,1918.35,1931.538124277720191826,537361,19810,1037933258.00,148462,27.63,65.45,29.70
3-October-2024,1886.15,1911.95,1881.10,1893.10,1893.463544897904135084,185365,8276,350981870.00,111713,60.27,30.85,6.95
1-October-2024,1876.00,1909.00,1875.00,1904.15,1896.432745613231803100,283922,15995,538438978.00,191200,67.34,34.00,28.15
30-September-2024,1884.95,1900.00,1870.00,1876.00,1883.981489846064898460,110696,9248,208549215.00,51242,46.29,30.00,-8.95
27-September-2024,1930.00,1974.65,1903.30,1907.20,1934.265664865604787960,262993,10827,508698330.00,59461,22.61,71.35,-22.80
26-September-2024,1890.35,1917.35,1890.35,1899.35,1905.929671910529490927,129294,8317,246425271.00,64490,49.88,27.00,9.00
25-September-2024,1893.45,1901.00,1877.40,1896.00,1890.051195282772242716,68854,3693,130137585.00,31457,45.69,23.60,2.55
24-September-2024,1885.00,1910.00,1871.05,1897.80,1889.383915698969828829,114447,8025,216234321.00,49019,42.83,38.95,12.80
23-September-2024,1908.55,1918.00,1879.00,1897.00,1894.208714483714483714,173160,8728,328001181.00,113289,65.42,39.00,-11.55
20-September-2024,1911.25,1915.00,1866.95,1906.10,1896.258437361186412940,898237,28257,1703289490.00,147490,16.42,48.05,-5.15
19-September-2024,1918.50,1924.20,1878.25,1894.15,1897.264057073485570273,260296,10634,493850245.00,127892,49.13,45.95,-24.35
18-September-2024,1940.00,1940.00,1882.00,1892.35,1897.419229925935835832,269091,13487,510578438.00,164143,61.00,58.00,-47.65
17-September-2024,1949.75,1958.20,1942.45,1952.65,1952.202802547770700636,70650,2380,137923128.00,47152,66.74,15.75,2.90
16-September-2024,1940.25,1952.00,1932.45,1949.75,1945.469669781830287185,123161,6497,239605990.00,66700,54.16,19.55,9.50
13-September-2024,1950.35,1958.70,1935.45,1944.30,1950.347642373954480322,300090,9679,585279824.00,137377,45.78,23.25,-6.05
12-September-2024,1921.25,1956.00,1910.80,1950.35,1926.916489346611059097,211482,13909,407508153.00,111895,52.91,45.20,29.10
11-September-2024,1913.00,1926.00,1904.85,1910.80,1917.826249939732896195,165928,6700,318221074.00,117210,70.64,21.15,-2.20
10-September-2024,1905.00,1935.00,1896.60,1912.90,1923.543222003929273084,162880,7948,313306720.00,97979,60.15,38.40,7.90
9-September-2024,1885.05,1920.50,1885.05,1894.70,1911.292815183009489380,221300,11332,422969100.00,132402,59.83,35.45,9.65
6-September-2024,1931.15,1935.90,1896.70,1902.20,1907.259554753921903750,274994,17270,524484934.00,37021,13.46,39.20,-28.95
5-September-2024,1923.15,1938.90,1910.05,1933.00,1919.999394100451767207,94075,5170,180623943.00,50221,53.38,28.85,9.85
4-September-2024,1907.60,1928.20,1900.75,1922.05,1908.907791043367467321,105955,4815,202258325.00,60379,56.99,27.45,14.45
3-September-2024,1964.90,1965.00,1936.00,1940.20,1953.478661095940638960,103637,4867,202452668.00,63535,61.31,29.00,-24.70
2-September-2024,1943.00,1975.05,1942.95,1964.10,1961.425164854043053665,151346,7223,296853853.00,88294,58.34,32.10,21.10
30-August-2024,1943.90,1950.00,1928.15,1943.30,1936.903880689535721122,219394,12807,424945090.00,40480,18.45,21.85,-0.60
29-August-2024,1935.00,1950.00,1920.60,1932.40,1936.958886042263631217,171353,11787,331903716.00,90420,52.77,29.40,-2.60
28-August-2024,1904.50,1950.20,1896.90,1939.20,1934.058905972427624746,336061,17662,649961770.00,190862,56.79,53.30,34.70
27-August-2024,1881.70,1902.00,1874.00,1900.15,1895.296143271727508782,130940,7851,248170077.00,91298,69.72,28.00,18.45
26-August-2024,1870.00,1888.35,1866.75,1875.95,1879.866303554848123093,120624,8452,226756993.00,77291,64.08,21.60,5.95
23-August-2024,1878.95,1880.25,1856.55,1862.35,1863.670303747950267046,322603,12535,601225631.00,93469,28.97,23.70,-16.60
22-August-2024,1882.35,1893.30,1869.90,1879.95,1881.074743592881795706,81706,6368,153695093.00,28813,35.26,23.40,-2.40
21-August-2024,1874.00,1879.95,1866.65,1872.25,1871.327699314002421167,86735,5632,162309608.00,53010,61.12,13.30,-1.75
20-August-2024,1880.05,1885.70,1868.35,1873.50,1877.283314781516682364,70074,3408,131548751.00,44542,63.56,17.35,-6.55
19-August-2024,1859.35,1866.85,1849.45,1864.10,1861.370950868316436193,105146,7851,195715710.00,70659,67.20,17.40,4.75
16-August-2024,1847.25,1861.80,1830.65,1859.35,1852.029756363353312057,321175,12691,594825657.00,85712,26.69,31.15,12.10
14-August-2024,1797.35,1825.00,1797.35,1822.65,1807.222715705953942689,506152,4781,914729392.00,449113,88.73,27.65,25.30
13-August-2024,1806.35,1807.40,1789.55,1796.80,1798.866801784627321921,149499,11304,268928788.00,73978,49.48,17.85,-9.55
12-August-2024,1765.05,1803.00,1765.05,1797.55,1791.524513391937122918,140719,10204,252101538.00,85219,60.56,37.95,32.50
9-August-2024,1774.65,1779.90,1756.55,1770.85,1769.336245961788653539,273636,13885,484154093.00,37124,13.57,23.35,-3.80
8-August-2024,1784.35,1784.35,1727.45,1741.10,1750.110747007919244423,212394,14709,371713022.00,62589,29.47,56.90,-43.25
7-August-2024,1789.95,1797.00,1762.05,1792.00,1784.428422190861939409,54563,4262,97363768.00,22182,40.65,34.95,2.05
6-August-2024,1751.45,1796.65,1745.00,1750.65,1767.564066439935749602,111439,5943,196975572.00,43274,38.83,51.65,-0.80
5-August-2024,1761.00,1797.60,1718.40,1751.40,1759.784495835401842352,580128,32765,1020900260.00,364639,62.85,79.20,-9.60
2-August-2024,1843.95,1860.00,1816.20,1821.40,1825.753966768889581925,577170,17758,1053770417.00,97016,16.81,43.80,-22.55
1-August-2024,1845.40,1867.55,1845.40,1852.30,1854.908477783817519276,198684,7568,368540636.00,91221,45.91,22.15,6.90
31-July-2024,1874.35,1884.00,1865.50,1868.05,1872.775256091496767777,50275,3469,94153776.00,20105,39.99,18.50,-6.30
30-July-2024,1867.25,1879.90,1860.00,1877.00,1870.333797047685292526,129390,9039,242002490.00,85515,66.09,19.90,9.75
29-July-2024,1885.05,1903.00,1864.15,1872.30,1882.679726113267594088,82954,4701,156175814.00,33938,40.91,38.85,-12.75
26-July-2024,1824.50,1883.00,1824.50,1878.75,1872.566493697273618380,756974,30936,1417484149.00,321256,42.44,58.50,54.25
25-July-2024,1821.65,1830.60,1813.75,1825.35,1822.195830127383089681,93576,5178,170513797.00,38896,41.57,16.85,3.70
24-July-2024,1828.90,1840.55,1820.20,1830.20,1830.076539176350513550,355661,13298,650886852.00,162380,45.66,20.35,1.30
23-July-2024,1808.00,1839.75,1783.00,1836.95,1813.667500790363460023,186623,10223,338472070.00,74408,39.87,56.75,28.95
